seriesId,seriesTitle,creatorName,role,type,isPrimary,isPublic,sortOrder,source,bio,fillHint
series-001,The Last Kingdom,,,,,,,catalog_import,,Fill with real public-facing creator credit. Do not use placeholders.
series-002,Moonlight Sonata,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-003,Shadow Protocol,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-004,Cherry Blossom High,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-005,Dragon's Oath,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-006,Neon Nights,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-007,The Quiet Storm,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-008,Apex Predator,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-009,Starfall Academy,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-010,Crimson Tide,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-011,Solar Wind,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
series-012,Wild Hearts,,,,,,,catalog_import,,Fill with real public-facing creator credit. Add more rows for multi-credit titles.
